,Day,Banned,Scam,Collapse,Crash,Fall,Fraud,Illegal,Ponzi,Tulip,Worst,Bitcoin,Negative
78,2017-12-01,21,35,24,8.0,21,48,42,25,27,32,37,27.88888888888889
79,2017-12-02,16,32,19,7.0,14,7,26,23,13,35,30,17.444444444444443
80,2017-12-03,39,69,15,7.0,11,13,46,31,15,18,31,27.333333333333332
81,2017-12-04,41,50,32,8.0,8,23,45,20,15,46,35,26.88888888888889
82,2017-12-05,61,64,19,8.0,3,35,45,10,25,38,36,30.0
83,2017-12-06,28,77,46,20.0,17,17,23,24,27,39,47,31.0
84,2017-12-07,49,100,53,44.0,22,100,93,55,100,55,96,68.44444444444444
85,2017-12-08,51,74,48,30.0,29,56,92,61,74,98,87,57.22222222222222
86,2017-12-09,8,75,8,19.0,21,47,60,36,32,27,57,34.0
87,2017-12-10,31,56,29,16.0,17,39,58,19,29,26,54,32.666666666666664
88,2017-12-11,27,69,23,13.0,15,80,45,43,43,31,64,39.77777777777778
89,2017-12-12,54,92,38,15.0,15,57,45,30,54,61,58,44.44444444444444
90,2017-12-13,48,68,33,15.0,15,12,85,34,36,77,53,38.44444444444444
91,2017-12-14,35,81,30,10.0,8,30,58,59,36,16,47,38.55555555555556
92,2017-12-15,50,49,24,11.0,14,31,60,29,26,49,43,32.666666666666664
93,2017-12-16,48,56,23,18.0,10,48,67,40,49,18,41,39.888888888888886
94,2017-12-17,32,48,45,19.0,11,20,20,16,30,27,47,26.77777777777778
95,2017-12-18,28,92,13,13.0,10,35,58,34,27,55,48,34.44444444444444
96,2017-12-19,35,94,30,17.0,24,72,100,45,28,24,50,49.44444444444444
97,2017-12-20,72,64,51,27.0,33,43,60,32,22,65,66,44.888888888888886
98,2017-12-21,30,91,28,19.0,38,38,43,29,28,25,52,38.22222222222222
99,2017-12-22,39,64,100,100.0,100,33,26,38,35,53,100,59.44444444444444
100,2017-12-23,0,66,48,30.0,22,21,35,25,12,57,63,28.77777777777778
101,2017-12-24,36,50,34,18.0,21,8,30,18,14,50,48,25.444444444444443
102,2017-12-25,18,32,17,10.0,9,45,15,13,14,30,40,19.22222222222222
103,2017-12-26,23,46,22,8.0,12,59,26,19,4,70,40,24.333333333333332
104,2017-12-27,15,62,11,7.0,13,19,25,4,14,17,38,18.88888888888889
105,2017-12-28,45,55,14,8.0,6,6,31,22,14,33,38,22.333333333333332
106,2017-12-29,38,31,11,5.0,6,26,13,26,7,34,32,18.11111111111111
107,2017-12-30,33,35,12,10.0,11,21,54,36,13,37,33,25.0
108,2017-12-31,43,25,16,6.0,9,22,14,13,5,19,27,17.0
109,2018-01-01,9,27,16,5.0,2,15,14,21,5,19,26,12.666666666666666
110,2018-01-02,29,39,0,5.0,4,12,30,25,12,16,31,17.333333333333332
111,2018-01-03,7,47,13,4.0,3,52,40,14,8,31,31,20.88888888888889
112,2018-01-04,48,36,16,6.0,7,47,17,7,3,16,30,20.77777777777778
113,2018-01-05,28,48,13,5.0,4,30,47,17,9,16,30,22.333333333333332
114,2018-01-06,31,37,26,4.0,6,26,19,30,7,26,25,20.666666666666668
