,Day,Bitcoin,coinbase,BuyBitcoin,coin market cap,Kraken,GDAX,Binance,Blockchain
129,1/22/18,0,17,24,48,24,20,15,61
130,1/23/18,32,16,24,49,23,21,15,62
131,1/24/18,0,15,0,45,24,16,15,60
132,1/25/18,0,15,0,41,22,15,14,60
133,1/26/18,0,15,0,41,24,16,14,53
134,1/27/18,0,12,0,35,25,14,16,39
135,1/28/18,0,14,0,40,24,16,14,46
136,1/29/18,0,13,24,37,25,15,13,60
137,1/30/18,0,13,0,36,22,15,12,55
138,1/31/18,0,12,24,41,21,13,11,52
139,2/1/18,33,15,50,41,23,21,11,56
140,2/2/18,34,18,0,55,26,22,13,52
141,2/3/18,0,13,28,36,23,14,11,38
142,2/4/18,0,11,0,29,21,15,8,36
143,2/5/18,0,14,0,40,20,19,9,48
144,2/6/18,32,16,24,46,23,23,10,51
145,2/7/18,33,14,0,41,22,19,11,51
146,2/8/18,33,11,0,37,21,16,30,49
147,2/9/18,34,11,26,35,23,14,50,47
148,2/10/18,0,10,0,36,23,14,22,33
149,2/11/18,0,8,28,26,20,11,9,32
150,2/12/18,0,10,0,30,19,12,9,43
151,2/13/18,0,9,25,26,20,9,7,47
152,2/14/18,0,11,25,30,19,15,8,45
153,2/15/18,0,14,0,33,21,15,9,51
154,2/16/18,0,15,0,32,22,12,9,47
155,2/17/18,0,13,57,33,23,15,10,34
156,2/18/18,37,12,0,28,20,13,8,35
157,2/19/18,0,11,0,33,20,11,9,49
158,2/20/18,0,13,0,29,19,14,9,52
159,2/21/18,32,10,24,26,19,11,7,51
160,2/22/18,0,9,0,24,18,13,7,49
161,2/23/18,0,8,0,26,19,12,7,44
162,2/24/18,0,8,0,20,20,10,8,33
163,2/25/18,0,7,27,21,18,9,6,33
164,2/26/18,32,9,24,28,17,11,7,45
165,2/27/18,0,7,0,20,18,10,7,48
166,2/28/18,32,8,48,22,18,9,7,46
167,3/1/18,0,7,0,25,17,10,8,45
168,3/2/18,0,7,25,26,18,8,7,38
169,3/3/18,0,7,0,21,20,8,6,30
170,3/4/18,0,7,0,25,19,7,6,31
171,3/5/18,0,12,24,22,18,8,7,43
172,3/6/18,0,11,0,20,18,9,6,46
173,3/7/18,32,11,0,21,19,9,14,45
174,3/8/18,0,7,0,22,16,8,10,42
175,3/9/18,0,7,0,20,18,11,9,41
176,3/10/18,0,6,0,21,21,8,6,28
177,3/11/18,0,6,0,20,19,7,5,30
178,3/12/18,0,6,0,21,16,9,6,45
179,3/13/18,0,6,0,19,17,6,6,47
180,3/14/18,0,8,0,20,18,6,7,44
181,3/15/18,0,7,0,21,19,8,6,43
