,Date,Bitcoin,Positive,Negative,price,volume
0,2017-09-15,18,10.944444444444445,17.88888888888889,3698.92,169361.61
1,2017-09-16,12,5.444444444444445,13.555555555555555,3689.61,96068.08
2,2017-09-17,10,4.444444444444445,8.333333333333334,4100.28,147927.08
3,2017-09-18,11,9.0,6.0,3907.96,123214.81
4,2017-09-19,11,8.0,10.444444444444445,3882.16,86645.15
5,2017-09-20,9,5.611111111111111,9.0,3617.27,145124.78
6,2017-09-21,10,6.055555555555555,9.88888888888889,3600.83,114717.36
7,2017-09-22,9,4.222222222222222,4.777777777777778,3788.02,67820.32
8,2017-09-23,7,4.222222222222222,6.333333333333333,3667.52,49661.76
9,2017-09-24,7,3.5,5.055555555555555,3932.83,100194.7
10,2017-09-25,8,4.444444444444445,3.6666666666666665,3892.7,63252.3
11,2017-09-26,8,4.722222222222222,5.444444444444445,4212.2,117596.07
12,2017-09-27,8,5.888888888888889,10.666666666666666,4195.65,92228.17
13,2017-09-28,8,7.5,10.88888888888889,4172.79,97803.91
14,2017-09-29,8,6.777777777777778,5.5,4360.62,67493.68
15,2017-09-30,7,7.777777777777778,4.888888888888889,4403.09,60583.85
16,2017-10-01,7,4.333333333333333,7.722222222222222,4401.32,71201.48
17,2017-10-02,8,6.0,7.444444444444445,4314.18,81867.3
18,2017-10-03,8,4.611111111111111,3.6666666666666665,4218.66,64081.96
19,2017-10-04,7,5.888888888888889,6.555555555555555,4321.44,63613.2
20,2017-10-05,8,5.888888888888889,7.666666666666667,4371.94,61692.93
21,2017-10-06,7,4.666666666666667,9.333333333333334,4435.81,40202.08
22,2017-10-07,7,4.111111111111111,7.833333333333333,4611.7,71366.95
23,2017-10-08,8,3.611111111111111,7.777777777777778,4777.49,110191.77
24,2017-10-09,9,5.222222222222222,6.888888888888889,4763.36,98485.0
25,2017-10-10,10,6.888888888888889,9.222222222222221,4824.2,70482.75
26,2017-10-11,9,6.666666666666667,9.5,5432.62,163916.09
27,2017-10-12,15,14.166666666666666,16.444444444444443,5637.26,215018.92
28,2017-10-13,18,14.333333333333334,12.11111111111111,5824.71,76224.35
29,2017-10-14,12,9.0,7.333333333333333,5688.14,101636.95
30,2017-10-15,11,6.611111111111111,11.444444444444445,5759.33,61358.95
31,2017-10-16,11,8.055555555555555,11.11111111111111,5598.58,65637.43
32,2017-10-17,11,10.166666666666666,9.11111111111111,5575.83,122020.31
33,2017-10-18,12,8.055555555555555,7.111111111111111,5698.65,83056.09
34,2017-10-19,11,11.0,8.88888888888889,5993.11,123860.51
35,2017-10-20,13,11.055555555555555,9.11111111111111,6006.65,112943.89
36,2017-10-21,14,12.555555555555555,10.444444444444445,5982.86,105030.93
37,2017-10-22,12,8.777777777777779,10.88888888888889,5903.61,137140.4
38,2017-10-23,14,14.11111111111111,9.11111111111111,5513.08,143735.81
39,2017-10-24,15,15.88888888888889,12.333333333333334,5734.0,105839.48
40,2017-10-25,13,7.388888888888889,10.555555555555555,5887.61,93675.55
41,2017-10-26,13,8.555555555555555,10.0,5764.56,83933.5
42,2017-10-27,11,7.388888888888889,11.11111111111111,5726.61,53232.17
43,2017-10-28,10,5.611111111111111,4.111111111111111,6147.52,163055.75
44,2017-10-29,10,11.11111111111111,9.333333333333334,6124.28,78624.31
45,2017-10-30,13,8.777777777777779,7.0,6451.24,101249.62
46,2017-10-31,14,13.777777777777779,10.222222222222221,6737.78,133191.93
47,2017-11-01,18,14.666666666666666,17.11111111111111,7024.81,238796.19
48,2017-11-02,24,16.666666666666668,18.333333333333332,7152.12,154886.75
49,2017-11-03,21,15.11111111111111,12.444444444444445,7363.8,106602.67
50,2017-11-04,17,10.722222222222221,9.222222222222221,7389.55,105727.2
51,2017-11-05,17,14.555555555555555,11.11111111111111,6959.23,159688.48
52,2017-11-06,17,12.0,12.444444444444445,7102.75,101044.57
53,2017-11-07,16,12.833333333333334,10.11111111111111,7444.36,220224.38
54,2017-11-08,18,15.333333333333334,14.11111111111111,7129.59,126769.9
55,2017-11-09,16,10.666666666666666,12.11111111111111,6565.8,222001.18
56,2017-11-10,20,15.11111111111111,20.22222222222222,6339.86,135719.07
57,2017-11-11,19,15.777777777777779,14.11111111111111,5878.13,269832.87
58,2017-11-12,24,21.333333333333332,20.555555555555557,6522.45,178340.89
59,2017-11-13,22,14.222222222222221,12.222222222222221,6597.06,96502.09
60,2017-11-14,17,12.88888888888889,16.0,7283.22,131120.23
61,2017-11-15,17,14.555555555555555,16.333333333333332,7853.68,133937.8
62,2017-11-16,18,13.555555555555555,11.777777777777779,7699.95,117347.03
63,2017-11-17,20,15.444444444444445,18.333333333333332,7780.91,74382.12
64,2017-11-18,15,9.222222222222221,9.444444444444445,8042.64,68618.85
65,2017-11-19,15,14.88888888888889,11.11111111111111,8244.69,75703.64
66,2017-11-20,19,14.777777777777779,15.88888888888889,8099.97,115454.28
67,2017-11-21,20,15.88888888888889,18.666666666666668,8234.55,65811.68
68,2017-11-22,17,12.88888888888889,12.88888888888889,8013.41,68010.7
69,2017-11-23,16,11.666666666666666,12.666666666666666,8200.8,72994.63
70,2017-11-24,15,12.666666666666666,13.777777777777779,8754.69,84670.41
71,2017-11-25,16,18.77777777777778,15.88888888888889,9318.42,85891.98
72,2017-11-26,24,27.333333333333332,16.0,9733.2,106902.79
73,2017-11-27,33,26.333333333333332,30.22222222222222,9906.04,87754.89
74,2017-11-28,37,28.11111111111111,32.55555555555556,9837.86,233325.32
75,2017-11-29,61,49.666666666666664,45.77777777777778,9946.76,187008.87
76,2017-11-30,50,36.55555555555556,33.55555555555556,10861.47,131918.85
77,2017-12-01,37,24.77777777777778,28.0,10912.73,86825.51
78,2017-12-02,30,22.11111111111111,16.555555555555557,11246.21,122125.7
79,2017-12-03,31,21.88888888888889,27.77777777777778,11623.91,93173.9
80,2017-12-04,35,26.22222222222222,28.22222222222222,11667.13,89687.21
81,2017-12-05,36,27.444444444444443,32.0,13749.57,191576.66
82,2017-12-06,47,43.111111111111114,33.666666666666664,16850.31,297108.66
83,2017-12-07,96,80.0,73.44444444444444,16047.61,286762.02
84,2017-12-08,87,59.888888888888886,58.0,14843.42,181979.81
85,2017-12-09,57,42.111111111111114,34.666666666666664,15059.6,201620.09
86,2017-12-10,54,37.77777777777778,34.111111111111114,16732.47,159724.56
87,2017-12-11,64,42.77777777777778,39.666666666666664,17083.9,132846.57
88,2017-12-12,58,45.666666666666664,46.77777777777778,16286.82,155407.35
89,2017-12-13,53,44.0,39.333333333333336,16467.91,107918.03
90,2017-12-14,47,41.888888888888886,35.888888888888886,17604.85,153651.15
91,2017-12-15,43,38.888888888888886,32.44444444444444,19345.49,112173.97
92,2017-12-16,41,36.888888888888886,39.22222222222222,19065.71,117408.38
93,2017-12-17,47,41.0,28.555555555555557,18972.32,139251.39
94,2017-12-18,48,37.77777777777778,34.888888888888886,17523.7,174543.37
95,2017-12-19,50,50.77777777777778,48.333333333333336,16461.97,227676.13
96,2017-12-20,66,81.0,44.666666666666664,15632.12,163735.02
97,2017-12-21,52,47.888888888888886,38.111111111111114,13664.97,466980.6
98,2017-12-22,100,71.88888888888889,61.22222222222222,14396.46,170169.39
99,2017-12-23,63,39.77777777777778,28.88888888888889,13789.95,182417.29
100,2017-12-24,48,32.0,25.11111111111111,13833.49,107475.98
101,2017-12-25,40,27.22222222222222,19.444444444444443,15756.56,143135.26
102,2017-12-26,40,28.333333333333332,23.88888888888889,15416.64,138705.28
103,2017-12-27,38,31.666666666666668,20.0,14398.7,170366.63
104,2017-12-28,38,37.0,21.22222222222222,14392.57,118874.63
105,2017-12-29,32,31.333333333333332,16.22222222222222,12531.52,182065.44
106,2017-12-30,33,32.888888888888886,21.77777777777778,13850.4,111270.55
107,2017-12-31,27,27.22222222222222,16.444444444444443,13444.88,78425.21
108,2018-01-01,26,22.555555555555557,11.222222222222221,14754.13,137732.17
109,2018-01-02,31,30.11111111111111,15.88888888888889,15156.62,106543.39
110,2018-01-03,31,36.0,20.444444444444443,15180.08,110968.82
111,2018-01-04,30,41.55555555555556,21.77777777777778,16954.78,141960.42
112,2018-01-05,30,34.22222222222222,21.333333333333332,17172.3,83927.99
113,2018-01-06,25,29.77777777777778,18.11111111111111,16228.16,79006.37
114,2018-01-07,27,26.555555555555557,16.22222222222222,14976.17,142453.96
115,2018-01-08,29,27.77777777777778,20.555555555555557,14468.5,99730.65
116,2018-01-09,28,28.22222222222222,19.444444444444443,14919.49,142303.9
117,2018-01-10,29,27.555555555555557,23.0,13308.06,173452.27
118,2018-01-11,32,29.444444444444443,22.444444444444443,13841.19,102068.02
119,2018-01-12,27,25.22222222222222,21.11111111111111,14243.12,71300.93
120,2018-01-13,23,24.11111111111111,16.77777777777778,13638.63,81536.0
121,2018-01-14,21,17.77777777777778,15.0,13631.98,84089.84
122,2018-01-15,22,20.22222222222222,15.333333333333334,11282.49,325702.79
123,2018-01-16,43,33.333333333333336,37.0,11162.7,348631.94
124,2018-01-17,57,35.111111111111114,49.0,11175.52,204918.02
125,2018-01-18,40,27.0,21.555555555555557,11521.76,110885.87
126,2018-01-19,29,23.22222222222222,26.11111111111111,12783.94,119084.84
127,2018-01-20,24,16.666666666666668,18.555555555555557,11549.93,130427.64
128,2018-01-21,23,17.0,16.444444444444443,10814.52,165723.08
129,2018-01-22,26,15.222222222222221,17.555555555555557,10858.23,158868.59
130,2018-01-23,25,13.88888888888889,15.777777777777779,11429.02,115804.82
131,2018-01-24,23,14.0,12.222222222222221,11175.87,93317.76
132,2018-01-25,22,12.11111111111111,15.333333333333334,11104.2,142350.84
133,2018-01-26,23,15.444444444444445,9.88888888888889,11459.71,90873.81
134,2018-01-27,19,10.88888888888889,15.0,11767.74,87917.22
135,2018-01-28,18,10.777777777777779,10.11111111111111,11233.95,80713.7
136,2018-01-29,18,18.88888888888889,16.666666666666668,10107.26,164072.93
137,2018-01-30,21,13.333333333333334,17.88888888888889,10226.86,122260.49
138,2018-01-31,22,15.444444444444445,14.0,9114.72,208918.8
139,2018-02-01,29,16.555555555555557,32.55555555555556,8870.82,322596.22
140,2018-02-02,38,22.11111111111111,33.333333333333336,9251.27,139226.07
141,2018-02-03,25,14.777777777777779,14.11111111111111,8218.05,164609.06
142,2018-02-04,21,11.11111111111111,15.666666666666666,6937.08,341828.54
143,2018-02-05,37,18.555555555555557,30.666666666666668,7701.25,495883.24
144,2018-02-06,46,23.88888888888889,36.22222222222222,7592.72,271450.37
145,2018-02-07,30,16.22222222222222,13.444444444444445,8260.69,193040.33
146,2018-02-08,24,16.0,15.333333333333334,8696.83,162279.68
147,2018-02-09,22,12.666666666666666,16.666666666666668,8569.29,155616.78
148,2018-02-10,18,8.666666666666666,10.555555555555555,8084.61,123293.84
149,2018-02-11,16,10.777777777777779,9.777777777777779,8911.27,124923.98
150,2018-02-12,18,11.666666666666666,12.777777777777779,8544.69,98632.88
151,2018-02-13,16,9.666666666666666,11.0,9485.64,133702.54
152,2018-02-14,16,9.777777777777779,9.333333333333334,10033.75,168776.78
153,2018-02-15,18,8.555555555555555,10.88888888888889,10188.73,105556.67
154,2018-02-16,16,8.333333333333334,11.555555555555555,11097.21,123660.48
155,2018-02-17,15,8.0,14.444444444444445,10417.23,154431.22
156,2018-02-18,16,9.777777777777779,7.888888888888889,11182.28,108244.29
157,2018-02-19,15,9.0,8.222222222222221,11256.43,142449.23
158,2018-02-20,16,10.222222222222221,9.777777777777779,10481.66,183274.25
159,2018-02-21,16,7.555555555555555,8.0,9847.96,175506.26
160,2018-02-22,15,12.222222222222221,9.0,10175.51,139373.76
161,2018-02-23,14,8.444444444444445,5.777777777777778,9705.73,125269.68
162,2018-02-24,12,11.88888888888889,8.222222222222221,9610.11,82430.45
163,2018-02-25,11,5.555555555555555,8.444444444444445,10326.5,117416.47
164,2018-02-26,13,6.444444444444445,7.555555555555555,10594.76,99772.39
165,2018-02-27,13,9.666666666666666,7.333333333333333,10334.44,105434.79
166,2018-02-28,12,9.222222222222221,8.666666666666666,10929.37,88432.44
167,2018-03-01,11,5.444444444444445,4.444444444444445,11043.12,77195.49
168,2018-03-02,11,8.0,9.666666666666666,11465.36,71279.36
169,2018-03-03,11,7.888888888888889,6.444444444444445,11504.42,61016.39
170,2018-03-04,10,7.777777777777778,3.888888888888889,11440.73,68323.51
171,2018-03-05,11,8.222222222222221,7.888888888888889,10735.45,109876.55
172,2018-03-06,11,6.555555555555555,7.666666666666667,9928.56,183060.08
173,2018-03-07,13,7.444444444444445,6.333333333333333,9316.72,154879.22
174,2018-03-08,13,6.333333333333333,7.777777777777778,9252.76,233598.15
175,2018-03-09,14,7.222222222222222,9.444444444444445,8797.27,117409.38
176,2018-03-10,10,6.888888888888889,3.5555555555555554,9544.84,149877.66
177,2018-03-11,10,7.555555555555555,3.888888888888889,9142.15,152959.8
178,2018-03-12,11,5.777777777777778,9.88888888888889,9160.12,133768.47
179,2018-03-13,10,10.777777777777779,8.222222222222221,8217.7,161775.05
180,2018-03-14,12,9.666666666666666,8.555555555555555,8268.41,187365.71
181,2018-03-15,14,7.333333333333333,15.444444444444445,8283.23,129688.11
