,Date,Bitcoin,Negative,Positive
1,2017-09-15,18,17.666666666666668,11.222222222222221
2,2017-09-16,12,13.222222222222221,7.0
3,2017-09-17,10,9.0,9.88888888888889
4,2017-09-18,11,5.555555555555555,13.777777777777779
5,2017-09-19,11,10.333333333333334,12.222222222222221
6,2017-09-20,9,8.88888888888889,7.888888888888889
7,2017-09-21,10,9.88888888888889,11.444444444444445
8,2017-09-22,9,5.111111111111111,7.555555555555555
9,2017-09-23,7,7.444444444444445,5.555555555555555
10,2017-09-24,7,4.944444444444445,5.444444444444445
11,2017-09-25,8,3.3333333333333335,9.0
12,2017-09-26,8,5.111111111111111,7.222222222222222
13,2017-09-27,8,10.333333333333334,11.88888888888889
14,2017-09-28,8,10.666666666666666,7.222222222222222
15,2017-09-29,8,6.166666666666667,8.444444444444445
16,2017-09-30,7,4.777777777777778,9.444444444444445
17,2017-10-01,7,7.833333333333333,8.11111111111111
18,2017-10-02,8,8.222222222222221,8.666666666666666
19,2017-10-03,8,3.888888888888889,5.333333333333333
20,2017-10-04,7,6.666666666666667,10.11111111111111
21,2017-10-05,8,8.333333333333334,10.777777777777779
22,2017-10-06,7,9.88888888888889,9.666666666666666
23,2017-10-07,7,7.944444444444445,5.333333333333333
24,2017-10-08,8,7.777777777777778,7.888888888888889
25,2017-10-09,9,7.0,8.0
26,2017-10-10,10,9.777777777777779,6.0
27,2017-10-11,9,10.222222222222221,13.11111111111111
28,2017-10-12,15,15.777777777777779,14.0
29,2017-10-13,18,13.11111111111111,16.333333333333332
30,2017-10-14,12,7.444444444444445,12.0
31,2017-10-15,11,11.11111111111111,12.11111111111111
32,2017-10-16,11,11.11111111111111,11.444444444444445
33,2017-10-17,11,9.11111111111111,13.0
34,2017-10-18,12,7.666666666666667,12.0
35,2017-10-19,11,10.0,15.0
36,2017-10-20,13,9.0,16.666666666666668
37,2017-10-21,14,10.666666666666666,10.555555555555555
38,2017-10-22,12,11.222222222222221,7.0
39,2017-10-23,14,8.88888888888889,17.11111111111111
40,2017-10-24,15,12.88888888888889,15.555555555555555
41,2017-10-25,13,11.0,14.0
42,2017-10-26,13,10.666666666666666,13.555555555555555
43,2017-10-27,11,10.777777777777779,12.333333333333334
44,2017-10-28,10,5.666666666666667,6.555555555555555
45,2017-10-29,10,10.0,10.11111111111111
46,2017-10-30,13,7.555555555555555,13.222222222222221
47,2017-10-31,14,10.555555555555555,16.22222222222222
48,2017-11-01,18,17.88888888888889,15.666666666666666
49,2017-11-02,24,18.444444444444443,21.666666666666668
50,2017-11-03,21,11.88888888888889,22.22222222222222
51,2017-11-04,17,8.555555555555555,12.777777777777779
52,2017-11-05,17,11.11111111111111,20.555555555555557
53,2017-11-06,17,13.88888888888889,19.444444444444443
54,2017-11-07,16,10.0,17.0
55,2017-11-08,18,15.333333333333334,24.0
56,2017-11-09,16,11.777777777777779,14.222222222222221
57,2017-11-10,20,19.77777777777778,19.11111111111111
58,2017-11-11,19,13.555555555555555,13.555555555555555
59,2017-11-12,24,19.77777777777778,19.666666666666668
60,2017-11-13,22,12.88888888888889,17.88888888888889
61,2017-11-14,17,15.666666666666666,14.88888888888889
