Date,price,volume,delta_price1,delta_price2,delta_price3,delta_price4,delta_price5,Abs_delta_price1,Abs_delta_price2,Abs_delta_price3,Abs_delta_price4,Abs_delta_price5
2017-10-25,5887.61,93675.55,153.60999999999967,374.52999999999975,-16.0,-95.25,-119.03999999999996,153.60999999999967,374.52999999999975,16.0,95.25,119.03999999999996
2017-10-26,5764.56,83933.5,-123.04999999999927,30.5600000000004,251.48000000000047,-139.04999999999927,-218.29999999999927,123.04999999999927,30.5600000000004,251.48000000000047,139.04999999999927,218.29999999999927
2017-10-27,5726.61,53232.17,-37.95000000000073,-161.0,-7.390000000000327,213.52999999999975,-177.0,37.95000000000073,161.0,7.390000000000327,213.52999999999975,177.0
2017-10-28,6147.52,163055.75,420.91000000000076,382.96000000000004,259.91000000000076,413.52000000000044,634.4400000000005,420.91000000000076,382.96000000000004,259.91000000000076,413.52000000000044,634.4400000000005
2017-10-29,6124.28,78624.31,-23.24000000000069,397.6700000000001,359.71999999999935,236.67000000000007,390.27999999999975,23.24000000000069,397.6700000000001,359.71999999999935,236.67000000000007,390.27999999999975
2017-10-30,6451.24,101249.62,326.96000000000004,303.71999999999935,724.6300000000001,686.6799999999994,563.6300000000001,326.96000000000004,303.71999999999935,724.6300000000001,686.6799999999994,563.6300000000001
2017-10-31,6737.78,133191.93,286.53999999999996,613.5,590.2599999999993,1011.1700000000001,973.2199999999993,286.53999999999996,613.5,590.2599999999993,1011.1700000000001,973.2199999999993
2017-11-01,7024.81,238796.19,287.03000000000065,573.5700000000006,900.5300000000007,877.29,1298.2000000000007,287.03000000000065,573.5700000000006,900.5300000000007,877.29,1298.2000000000007
2017-11-02,7152.12,154886.75,127.30999999999949,414.34000000000015,700.8800000000001,1027.8400000000001,1004.5999999999995,127.30999999999949,414.34000000000015,700.8800000000001,1027.8400000000001,1004.5999999999995
2017-11-03,7363.8,106602.67,211.6800000000003,338.9899999999998,626.0200000000004,912.5600000000004,1239.5200000000004,211.6800000000003,338.9899999999998,626.0200000000004,912.5600000000004,1239.5200000000004
2017-11-04,7389.55,105727.2,25.75,237.4300000000003,364.7399999999998,651.7700000000004,938.3100000000004,25.75,237.4300000000003,364.7399999999998,651.7700000000004,938.3100000000004
2017-11-05,6959.23,159688.48,-430.3200000000006,-404.5700000000006,-192.89000000000033,-65.58000000000084,221.44999999999982,430.3200000000006,404.5700000000006,192.89000000000033,65.58000000000084,221.44999999999982
2017-11-06,7102.75,101044.57,143.52000000000044,-286.8000000000002,-261.0500000000002,-49.36999999999989,77.9399999999996,143.52000000000044,286.8000000000002,261.0500000000002,49.36999999999989,77.9399999999996
2017-11-07,7444.36,220224.38,341.6099999999997,485.1300000000001,54.80999999999949,80.55999999999949,292.2399999999998,341.6099999999997,485.1300000000001,54.80999999999949,80.55999999999949,292.2399999999998
2017-11-08,7129.59,126769.9,-314.7699999999995,26.840000000000146,170.36000000000058,-259.96000000000004,-234.21000000000004,314.7699999999995,26.840000000000146,170.36000000000058,259.96000000000004,234.21000000000004
2017-11-09,6565.8,222001.18,-563.79,-878.5599999999995,-536.9499999999998,-393.4299999999994,-823.75,563.79,878.5599999999995,536.9499999999998,393.4299999999994,823.75
2017-11-10,6339.86,135719.07,-225.9400000000005,-789.7300000000005,-1104.5,-762.8900000000003,-619.3699999999999,225.9400000000005,789.7300000000005,1104.5,762.8900000000003,619.3699999999999
2017-11-11,5878.13,269832.87,-461.72999999999956,-687.6700000000001,-1251.46,-1566.2299999999996,-1224.62,461.72999999999956,687.6700000000001,1251.46,1566.2299999999996,1224.62
2017-11-12,6522.45,178340.89,644.3199999999997,182.59000000000015,-43.350000000000364,-607.1400000000003,-921.9099999999999,644.3199999999997,182.59000000000015,43.350000000000364,607.1400000000003,921.9099999999999
2017-11-13,6597.06,96502.09,74.61000000000058,718.9300000000003,257.2000000000007,31.26000000000022,-532.5299999999997,74.61000000000058,718.9300000000003,257.2000000000007,31.26000000000022,532.5299999999997
2017-11-14,7283.22,131120.23,686.1599999999999,760.7700000000004,1405.0900000000001,943.3600000000006,717.4200000000001,686.1599999999999,760.7700000000004,1405.0900000000001,943.3600000000006,717.4200000000001
2017-11-15,7853.68,133937.8,570.46,1256.62,1331.2300000000005,1975.5500000000002,1513.8200000000006,570.46,1256.62,1331.2300000000005,1975.5500000000002,1513.8200000000006
2017-11-16,7699.95,117347.03,-153.73000000000047,416.72999999999956,1102.8899999999994,1177.5,1821.8199999999997,153.73000000000047,416.72999999999956,1102.8899999999994,1177.5,1821.8199999999997
2017-11-17,7780.91,74382.12,80.96000000000004,-72.77000000000044,497.6899999999996,1183.8499999999995,1258.46,80.96000000000004,72.77000000000044,497.6899999999996,1183.8499999999995,1258.46
2017-11-18,8042.64,68618.85,261.7300000000005,342.6900000000005,188.96000000000004,759.4200000000001,1445.58,261.7300000000005,342.6900000000005,188.96000000000004,759.4200000000001,1445.58
2017-11-19,8244.69,75703.64,202.05000000000018,463.78000000000065,544.7400000000007,391.0100000000002,961.4700000000003,202.05000000000018,463.78000000000065,544.7400000000007,391.0100000000002,961.4700000000003
2017-11-20,8099.97,115454.28,-144.72000000000025,57.32999999999993,319.0600000000004,400.02000000000044,246.28999999999996,144.72000000000025,57.32999999999993,319.0600000000004,400.02000000000044,246.28999999999996
2017-11-21,8234.55,65811.68,134.57999999999902,-10.140000000001237,191.90999999999894,453.6399999999994,534.5999999999995,134.57999999999902,10.140000000001237,191.90999999999894,453.6399999999994,534.5999999999995
2017-11-22,8013.41,68010.7,-221.13999999999942,-86.5600000000004,-231.28000000000065,-29.230000000000473,232.5,221.13999999999942,86.5600000000004,231.28000000000065,29.230000000000473,232.5
2017-11-23,8200.8,72994.63,187.38999999999942,-33.75,100.82999999999902,-43.89000000000124,158.15999999999894,187.38999999999942,33.75,100.82999999999902,43.89000000000124,158.15999999999894
2017-11-24,8754.69,84670.41,553.8900000000012,741.2800000000007,520.1400000000012,654.7200000000003,510.0,553.8900000000012,741.2800000000007,520.1400000000012,654.7200000000003,510.0
2017-11-25,9318.42,85891.98,563.7299999999996,1117.6200000000008,1305.0100000000002,1083.8700000000008,1218.4499999999998,563.7299999999996,1117.6200000000008,1305.0100000000002,1083.8700000000008,1218.4499999999998
2017-11-26,9733.2,106902.79,414.78000000000065,978.5100000000002,1532.4000000000015,1719.7900000000009,1498.6500000000015,414.78000000000065,978.5100000000002,1532.4000000000015,1719.7900000000009,1498.6500000000015
2017-11-27,9906.04,87754.89,172.84000000000015,587.6200000000008,1151.3500000000004,1705.2400000000016,1892.630000000001,172.84000000000015,587.6200000000008,1151.3500000000004,1705.2400000000016,1892.630000000001
2017-11-28,9837.86,233325.32,-68.18000000000029,104.65999999999985,519.4400000000005,1083.17,1637.0600000000013,68.18000000000029,104.65999999999985,519.4400000000005,1083.17,1637.0600000000013
2017-11-29,9946.76,187008.87,108.89999999999964,40.719999999999345,213.5599999999995,628.3400000000001,1192.0699999999997,108.89999999999964,40.719999999999345,213.5599999999995,628.3400000000001,1192.0699999999997
2017-11-30,10861.47,131918.85,914.7099999999991,1023.6099999999988,955.4299999999985,1128.2699999999986,1543.0499999999993,914.7099999999991,1023.6099999999988,955.4299999999985,1128.2699999999986,1543.0499999999993
2017-12-01,10912.73,86825.51,51.26000000000022,965.9699999999993,1074.869999999999,1006.6899999999987,1179.5299999999988,51.26000000000022,965.9699999999993,1074.869999999999,1006.6899999999987,1179.5299999999988
2017-12-02,11246.21,122125.7,333.47999999999956,384.7399999999998,1299.449999999999,1408.3499999999985,1340.1699999999983,333.47999999999956,384.7399999999998,1299.449999999999,1408.3499999999985,1340.1699999999983
2017-12-03,11623.91,93173.9,377.7000000000007,711.1800000000003,762.4400000000005,1677.1499999999996,1786.0499999999993,377.7000000000007,711.1800000000003,762.4400000000005,1677.1499999999996,1786.0499999999993
2017-12-04,11667.13,89687.21,43.219999999999345,420.9200000000001,754.3999999999996,805.6599999999999,1720.369999999999,43.219999999999345,420.9200000000001,754.3999999999996,805.6599999999999,1720.369999999999
2017-12-05,13749.57,191576.66,2082.4400000000005,2125.66,2503.3600000000006,2836.84,2888.1000000000004,2082.4400000000005,2125.66,2503.3600000000006,2836.84,2888.1000000000004
2017-12-06,16850.31,297108.66,3100.7400000000016,5183.180000000002,5226.4000000000015,5604.100000000002,5937.580000000002,3100.7400000000016,5183.180000000002,5226.4000000000015,5604.100000000002,5937.580000000002
2017-12-07,16047.61,286762.02,-802.7000000000007,2298.040000000001,4380.480000000001,4423.700000000001,4801.4000000000015,802.7000000000007,2298.040000000001,4380.480000000001,4423.700000000001,4801.4000000000015
2017-12-08,14843.42,181979.81,-1204.1900000000005,-2006.8900000000012,1093.8500000000004,3176.290000000001,3219.51,1204.1900000000005,2006.8900000000012,1093.8500000000004,3176.290000000001,3219.51
2017-12-09,15059.6,201620.09,216.1800000000003,-988.0100000000002,-1790.710000000001,1310.0300000000007,3392.470000000001,216.1800000000003,988.0100000000002,1790.710000000001,1310.0300000000007,3392.470000000001
2017-12-10,16732.47,159724.56,1672.8700000000008,1889.050000000001,684.8600000000006,-117.84000000000015,2982.9000000000015,1672.8700000000008,1889.050000000001,684.8600000000006,117.84000000000015,2982.9000000000015
2017-12-11,17083.9,132846.57,351.4300000000003,2024.300000000001,2240.4800000000014,1036.2900000000009,233.59000000000015,351.4300000000003,2024.300000000001,2240.4800000000014,1036.2900000000009,233.59000000000015
2017-12-12,16286.82,155407.35,-797.0800000000017,-445.65000000000146,1227.2199999999993,1443.3999999999996,239.20999999999913,797.0800000000017,445.65000000000146,1227.2199999999993,1443.3999999999996,239.20999999999913
2017-12-13,16467.91,107918.03,181.09000000000015,-615.9900000000016,-264.5600000000013,1408.3099999999995,1624.4899999999998,181.09000000000015,615.9900000000016,264.5600000000013,1408.3099999999995,1624.4899999999998
2017-12-14,17604.85,153651.15,1136.9399999999987,1318.0299999999988,520.9499999999971,872.3799999999974,2545.249999999998,1136.9399999999987,1318.0299999999988,520.9499999999971,872.3799999999974,2545.249999999998
2017-12-15,19345.49,112173.97,1740.640000000003,2877.5800000000017,3058.670000000002,2261.59,2613.0200000000004,1740.640000000003,2877.5800000000017,3058.670000000002,2261.59,2613.0200000000004
2017-12-16,19065.71,117408.38,-279.7800000000025,1460.8600000000006,2597.7999999999993,2778.8899999999994,1981.8099999999977,279.7800000000025,1460.8600000000006,2597.7999999999993,2778.8899999999994,1981.8099999999977
